timestamp,date,time,hour,violation_type,violation_id,vehicle_id,vehicle_type,license_plate,lane,traffic_signal,speed,location_x,location_y
2026-01-23T18:21:31.818939,2026-01-23,18:21:31,18,ILLEGAL_TURN,2,4,SMALL,N/A,LANE2,GREEN,13.73,576,504
2026-01-23T18:21:31.818939,2026-01-23,18:21:31,18,ILLEGAL_TURN,3,9,SMALL,N/A,LANE2,GREEN,8.04,533,476
2026-01-23T18:21:32.022232,2026-01-23,18:21:32,18,ILLEGAL_TURN,4,3,SMALL,N/A,LANE2,GREEN,11.45,531,557
2026-01-23T18:21:38.625590,2026-01-23,18:21:38,18,ILLEGAL_TURN,5,15,SMALL,N/A,LANE2,GREEN,27.83,577,518
2026-01-23T18:21:38.705631,2026-01-23,18:21:38,18,ILLEGAL_TURN,6,14,SMALL,N/A,LANE1,RED,64.81,665,287
2026-01-23T18:21:40.311722,2026-01-23,18:21:40,18,ILLEGAL_TURN,7,13,SMALL,N/A,LANE2,GREEN,170.55,626,510
2026-01-23T18:21:41.299352,2026-01-23,18:21:41,18,ILLEGAL_TURN,8,24,SMALL,N/A,LANE1,RED,3.98,583,203
2026-01-23T18:21:41.681059,2026-01-23,18:21:41,18,ILLEGAL_TURN,9,25,SMALL,N/A,LANE1,RED,103.35,582,203
2026-01-23T18:21:44.552376,2026-01-23,18:21:44,18,ILLEGAL_TURN,10,28,SMALL,N/A,LANE2,RED,67.85,656,565
2026-01-23T18:21:55.498163,2026-01-23,18:21:55,18,ILLEGAL_TURN,11,43,SMALL,N/A,LANE2,GREEN,28.28,567,523
2026-01-23T18:21:56.869779,2026-01-23,18:21:56,18,ILLEGAL_TURN,12,40,SMALL,N/A,LANE2,GREEN,208.07,728,566
2026-01-23T18:21:57.385552,2026-01-23,18:21:57,18,ILLEGAL_TURN,13,42,SMALL,N/A,LANE2,GREEN,17.58,604,584
2026-01-23T18:21:57.700702,2026-01-23,18:21:57,18,ILLEGAL_TURN,14,44,SMALL,N/A,LANE2,GREEN,9.6,644,523
2026-01-23T18:21:58.320000,2026-01-23,18:21:58,18,ILLEGAL_TURN,15,36,SMALL,N/A,LANE1,RED,187.24,665,280
